iteration,avg_val_score,retrained_test_score,cv_ensembled_test_score,post_hoc_surrogate_incumbent_iteration,post_hoc_surrogate_incumbent_mean,dataset_id,repetition,outer_fold,optimizer,metric,problem_type,model,mitigation,reshuffling,inner_split,selection_set_size,random_state,outer_n_folds,outer_n_repeats,experiment_source,raw_experiment_id,experiment_id,normalized_avg_val_score,normalized_retrained_test_score,normalized_cv_ensembled_test_score
0,0.2389690177497361,0.214273460284783,0.21709341224909928,0,-0.7610309822502639,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.261037192530668,0.03483538958896925,0.03264682301062344
1,0.3204441116539415,0.271959169668897,0.26664093326471083,0,-0.7610309822502639,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.4813076647674149,0.21231114336610207,0.1484265383844457
2,0.2781012937912749,0.21819780408303313,0.22885572139303467,0,-0.7610309822502639,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.36683252838512076,0.04690901893514593,0.06013229104028845
3,0.2524580806716912,0.277759907359753,0.2665980442614514,0,-0.7610309822502639,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.2975052972909237,0.23015768291878375,0.14832631789937886
4,0.24228021505904296,0.21465946131411895,0.21442357179619154,0,-0.7610309822502639,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.2699891183283554,0.03602295968859278,0.026408097815193796
5,0.280666781233889,0.22460971007033803,0.22513510036026751,0,-0.7610309822502639,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.3737684041653496,0.06663587781223256,0.05143816396071348
6,0.5,0.5,0.5,0,-0.7610309822502639,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.9667426415638452,0.9139011677772645,0.6937261976347965
7,0.32722608204649783,0.29280322525304514,0.26278092297135014,0,-0.7610309822502639,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.49964293447352215,0.27643992874579437,0.1394066947284026
8,0.30137848918567245,0.24369531652084409,0.25015011151140865,0,-0.7610309822502639,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.4297631563375033,0.12535462162697147,0.10989176187612804
9,0.28927650799106375,0.2156030193858295,0.22148953508320468,0,-0.7610309822502639,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.39704507053976357,0.03892590882100723,0.04291942273000623
