iteration,experiment_id,experiment_source,raw_experiment_id,dataset_id,model,optimizer,metric,problem_type,mitigation,reshuffling,inner_split,selection_set_size,repetition,outer_fold,random_state,outer_n_folds,outer_n_repeats,val_performance,normalized_val_loss,retrain_test_loss,normalized_retrain_test_loss,ensembled_test_loss,normalized_ensembled_test_loss,retrain_meta_overfitting,ensemble_meta_overfitting,retrain_regret,ensemble_regret,retrain_overtuning,ensemble_overtuning,relative_retrain_overtuning,relative_ensemble_overtuning,normalized_retrain_overtuning,normalized_ensemble_overtuning
0,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.24735349875014667,0.8658311418775552,0.23069210798488715,0.10610465116279012,0.23246512020600707,0.1014925373134321,-0.01666139076525952,-0.014888378544139602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.24735349875014667,0.8658311418775552,0.23069210798488715,0.10610465116279012,0.23246512020600707,0.1014925373134321,-0.01666139076525952,-0.014888378544139602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2473255378283311,0.8654362953262841,0.2374464402558204,0.29215116279069975,0.23688709711463363,0.19770378874856456,-0.009879097572510709,-0.010438440713697483,0.00675433227093325,0.004421976908626557,0.00675433227093325,0.004421976908626557,inf,inf,0.18604651162790964,0.09621125143513247
3,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2473255378283311,0.8654362953262841,0.2374464402558204,0.29215116279069975,0.23688709711463363,0.19770378874856456,-0.009879097572510709,-0.010438440713697483,0.00675433227093325,0.004421976908626557,0.00675433227093325,0.004421976908626557,inf,inf,0.18604651162790964,0.09621125143513247
4,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2473255378283311,0.8654362953262841,0.2374464402558204,0.29215116279069975,0.23688709711463363,0.19770378874856456,-0.009879097572510709,-0.010438440713697483,0.00675433227093325,0.004421976908626557,0.00675433227093325,0.004421976908626557,inf,inf,0.18604651162790964,0.09621125143513247
5,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2473255378283311,0.8654362953262841,0.2374464402558204,0.29215116279069975,0.23688709711463363,0.19770378874856456,-0.009879097572510709,-0.010438440713697483,0.00675433227093325,0.004421976908626557,0.00675433227093325,0.004421976908626557,inf,inf,0.18604651162790964,0.09621125143513247
6,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2473255378283311,0.8654362953262841,0.2374464402558204,0.29215116279069975,0.23688709711463363,0.19770378874856456,-0.009879097572510709,-0.010438440713697483,0.00675433227093325,0.004421976908626557,0.00675433227093325,0.004421976908626557,inf,inf,0.18604651162790964,0.09621125143513247
7,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.24543258342141028,0.8387051838051269,0.236074466513287,0.2543604651162784,0.23595837642738038,0.17749712973593665,-0.00935811690812327,-0.009474206994029899,0.005382358528399855,0.0034932562213733087,0.005382358528399855,0.0034932562213733087,inf,inf,0.1482558139534883,0.07600459242250455
8,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.24543258342141028,0.8387051838051269,0.236074466513287,0.2543604651162784,0.23595837642738038,0.17749712973593665,-0.00935811690812327,-0.009474206994029899,0.005382358528399855,0.0034932562213733087,0.005382358528399855,0.0034932562213733087,inf,inf,0.1482558139534883,0.07600459242250455
9,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.24353962901448933,0.8119740722839682,0.23862844840323372,0.3247093023255838,0.24219558013382025,0.3132032146957542,-0.004911180611255617,-0.0013440488806690798,0.007936340418346566,0.009730459927813184,0.007936340418346566,0.009730459927813184,inf,inf,0.2186046511627937,0.21171067738232208
