iteration,experiment_id,experiment_source,raw_experiment_id,dataset_id,model,optimizer,metric,problem_type,mitigation,reshuffling,inner_split,selection_set_size,repetition,outer_fold,random_state,outer_n_folds,outer_n_repeats,val_performance,normalized_val_loss,retrain_test_loss,normalized_retrain_test_loss,ensembled_test_loss,normalized_ensembled_test_loss,retrain_meta_overfitting,ensemble_meta_overfitting,retrain_regret,ensemble_regret,retrain_overtuning,ensemble_overtuning,relative_retrain_overtuning,relative_ensemble_overtuning,normalized_retrain_overtuning,normalized_ensemble_overtuning
0,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2401674758958494,0.16035625910553905,0.23069210798488726,0.02355769230769285,0.23246512020600707,0.028930817610062425,-0.009475367910962151,-0.007702355689842344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2401674758958494,0.16035625910553905,0.23069210798488726,0.02355769230769285,0.23246512020600707,0.028930817610062425,-0.009475367910962151,-0.007702355689842344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2401674758958494,0.16035625910553905,0.23069210798488726,0.02355769230769285,0.23246512020600707,0.028930817610062425,-0.009475367910962151,-0.007702355689842344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2401674758958494,0.16035625910553905,0.23069210798488726,0.02355769230769285,0.23246512020600707,0.028930817610062425,-0.009475367910962151,-0.007702355689842344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2401674758958494,0.16035625910553905,0.23069210798488726,0.02355769230769285,0.23246512020600707,0.028930817610062425,-0.009475367910962151,-0.007702355689842344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2401674758958494,0.16035625910553905,0.23069210798488726,0.02355769230769285,0.23246512020600707,0.028930817610062425,-0.009475367910962151,-0.007702355689842344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2401674758958494,0.16035625910553905,0.23069210798488726,0.02355769230769285,0.23246512020600707,0.028930817610062425,-0.009475367910962151,-0.007702355689842344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2353819584291238,0.1457614577671046,0.237752495936847,0.048298816568047596,0.23599003735990032,0.03998675935120777,0.0023705375077232027,0.0006080789307765233,0.0070603879519597346,0.0035249171538932478,0.0070603879519597346,0.0035249171538932478,inf,inf,0.024741124260354748,0.011055941741145343
8,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2353819584291238,0.1457614577671046,0.237752495936847,0.048298816568047596,0.23599003735990032,0.03998675935120777,0.0023705375077232027,0.0006080789307765233,0.0070603879519597346,0.0035249171538932478,0.0070603879519597346,0.0035249171538932478,inf,inf,0.024741124260354748,0.011055941741145343
9,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2353819584291238,0.1457614577671046,0.237752495936847,0.048298816568047596,0.23599003735990032,0.03998675935120777,0.0023705375077232027,0.0006080789307765233,0.0070603879519597346,0.0035249171538932478,0.0070603879519597346,0.0035249171538932478,inf,inf,0.024741124260354748,0.011055941741145343
