iteration,experiment_id,experiment_source,raw_experiment_id,dataset_id,model,optimizer,metric,problem_type,mitigation,reshuffling,inner_split,selection_set_size,repetition,outer_fold,random_state,outer_n_folds,outer_n_repeats,val_performance,normalized_val_loss,retrain_test_loss,normalized_retrain_test_loss,ensembled_test_loss,normalized_ensembled_test_loss,retrain_meta_overfitting,ensemble_meta_overfitting,retrain_regret,ensemble_regret,retrain_overtuning,ensemble_overtuning,relative_retrain_overtuning,relative_ensemble_overtuning,normalized_retrain_overtuning,normalized_ensemble_overtuning,val_loss
0,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2473534987501466,0.30334674626569225,0.2306921079848871,0.04174669528866779,0.232465120206007,0.034911158493247746,-0.0166613907652595,-0.0148883785441396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2473534987501466
1,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2473534987501466,0.30334674626569225,0.2306921079848871,0.04174669528866779,0.232465120206007,0.034911158493247746,-0.0166613907652595,-0.0148883785441396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2473534987501466
2,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2473255378283311,0.30327691938296325,0.2374464402558204,0.059823748728957425,0.2368870971146336,0.04682302771854998,-0.0098790975725107,-0.0104384407136974,0.0067543322709332,0.0044219769086265,0.0067543322709332,0.0044219769086265,inf,inf,0.018077053440289353,0.011911869225301925,0.2473255378283311
3,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2473255378283311,0.30327691938296325,0.2374464402558204,0.059823748728957425,0.2368870971146336,0.04682302771854998,-0.0098790975725107,-0.0104384407136974,0.0067543322709332,0.0044219769086265,0.0067543322709332,0.0044219769086265,inf,inf,0.018077053440289353,0.011911869225301925,0.2473255378283311
4,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2473255378283311,0.30327691938296325,0.2374464402558204,0.059823748728957425,0.2368870971146336,0.04682302771854998,-0.0098790975725107,-0.0104384407136974,0.0067543322709332,0.0044219769086265,0.0067543322709332,0.0044219769086265,inf,inf,0.018077053440289353,0.011911869225301925,0.2473255378283311
5,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2473255378283311,0.30327691938296325,0.2374464402558204,0.059823748728957425,0.2368870971146336,0.04682302771854998,-0.0098790975725107,-0.0104384407136974,0.0067543322709332,0.0044219769086265,0.0067543322709332,0.0044219769086265,inf,inf,0.018077053440289353,0.011911869225301925,0.2473255378283311
6,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2473255378283311,0.30327691938296325,0.2374464402558204,0.059823748728957425,0.2368870971146336,0.04682302771854998,-0.0098790975725107,-0.0104384407136974,0.0067543322709332,0.0044219769086265,0.0067543322709332,0.0044219769086265,inf,inf,0.018077053440289353,0.011911869225301925,0.2473255378283311
7,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2454325834214102,0.29854963942217794,0.236074466513287,0.056151847248898414,0.2359583764273803,0.04432125088841495,-0.0093581169081232,-0.0094742069940298,0.0053823585283998,0.0034932562213733,0.0053823585283998,0.0034932562213733,inf,inf,0.014405151960230327,0.00941009239516718,0.2454325834214102
8,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2454325834214102,0.29854963942217794,0.236074466513287,0.056151847248898414,0.2359583764273803,0.04432125088841495,-0.0093581169081232,-0.0094742069940298,0.0053823585283998,0.0034932562213733,0.0053823585283998,0.0034932562213733,inf,inf,0.014405151960230327,0.00941009239516718,0.2454325834214102
9,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2435396290144893,0.2938223594613927,0.2386284484032337,0.06298723308100801,0.2421955801338202,0.06112295664534477,-0.0049111806112556,-0.001344048880669,0.0079363404183465,0.0097304599278131,0.0079363404183465,0.0097304599278131,inf,inf,0.02124053779233996,0.02621179815209672,0.2435396290144893
