iteration,experiment_id,experiment_source,raw_experiment_id,dataset_id,model,optimizer,metric,problem_type,mitigation,reshuffling,inner_split,selection_set_size,repetition,outer_fold,random_state,outer_n_folds,outer_n_repeats,val_performance,normalized_val_loss,retrain_test_loss,normalized_retrain_test_loss,ensembled_test_loss,normalized_ensembled_test_loss,retrain_meta_overfitting,ensemble_meta_overfitting,retrain_regret,ensemble_regret,retrain_overtuning,ensemble_overtuning,relative_retrain_overtuning,relative_ensemble_overtuning,normalized_retrain_overtuning,normalized_ensemble_overtuning,val_loss
0,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2401674758958494,0.2854010727129305,0.2306921079848872,0.04174669528866809,0.232465120206007,0.034911158493247746,-0.0094753679109621,-0.0077023556898423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2401674758958494
1,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2401674758958494,0.2854010727129305,0.2306921079848872,0.04174669528866809,0.232465120206007,0.034911158493247746,-0.0094753679109621,-0.0077023556898423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2401674758958494
2,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2401674758958494,0.2854010727129305,0.2306921079848872,0.04174669528866809,0.232465120206007,0.034911158493247746,-0.0094753679109621,-0.0077023556898423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2401674758958494
3,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2401674758958494,0.2854010727129305,0.2306921079848872,0.04174669528866809,0.232465120206007,0.034911158493247746,-0.0094753679109621,-0.0077023556898423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2401674758958494
4,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2401674758958494,0.2854010727129305,0.2306921079848872,0.04174669528866809,0.232465120206007,0.034911158493247746,-0.0094753679109621,-0.0077023556898423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2401674758958494
5,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2401674758958494,0.2854010727129305,0.2306921079848872,0.04174669528866809,0.232465120206007,0.034911158493247746,-0.0094753679109621,-0.0077023556898423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2401674758958494
6,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2401674758958494,0.2854010727129305,0.2306921079848872,0.04174669528866809,0.232465120206007,0.034911158493247746,-0.0094753679109621,-0.0077023556898423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2401674758958494
7,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2353819584291238,0.273450187504217,0.237752495936847,0.06064286521297036,0.2359900373599003,0.04440653873489681,0.0023705375077232,0.0006080789307765,0.0070603879519597,0.0035249171538932,0.0070603879519597,0.0035249171538932,inf,inf,0.018896169924302035,0.009495380241648789,0.2353819584291238
8,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2353819584291238,0.273450187504217,0.237752495936847,0.06064286521297036,0.2359900373599003,0.04440653873489681,0.0023705375077232,0.0006080789307765,0.0070603879519597,0.0035249171538932,0.0070603879519597,0.0035249171538932,inf,inf,0.018896169924302035,0.009495380241648789,0.2353819584291238
9,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2353819584291238,0.273450187504217,0.237752495936847,0.06064286521297036,0.2359900373599003,0.04440653873489681,0.0023705375077232,0.0006080789307765,0.0070603879519597,0.0035249171538932,0.0070603879519597,0.0035249171538932,inf,inf,0.018896169924302035,0.009495380241648789,0.2353819584291238
